WATSON	HOLMES	HOLMES
IAN	HOLMES	MR. HOLMES
IAN	HOLMES	MR. HOLMES
IAN	HOLMES	SHERLOCK HOLMES
IAN	WATSON	DR. WATSON
WALTER	WATSON	WATSON
WALTER	HOLMES	SHERLOCK HOLMES
WATSON	HERBERT	SIR
WALTER	HOLMES	HOLMES
WALTER	HOLMES	SHERLOCK HOLMES
WALTER	WATSON	DR. WATSON
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
HERBERT	WATSON	DR. WATSON
IAN	HOLMES	MR. HOLMES
HOLMES	WATSON	MY DEAR WATSON
WALTER	HOLMES	HOLMES
IAN	HOLMES	MR. HOLMES
ANGUS	WALTER	SIR
WATSON	HOLMES	HOLMES
HOLMES	WATSON	MY DEAR CHAP
WATSON	HOLMES	HOLMES
DOROTHY	WATSON	DR. WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	OLD FELLOW
DOROTHY	HOLMES	MR. HOLMES
ANNOUNCER	WATSON	DR. WATSON
ANNOUNCER	WATSON	DR. WATSON
ANGUS	IAN	SIR
IAN	HOLMES	HOLMES
HERBERT	WATSON	DR. WATSON
WATSON	HERBERT	SIR
WATSON	HERBERT	SIR
WATSON	HERBERT	SIR
WATSON	HOLMES	HOLMES
IAN	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
IAN	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	WATSON
MURDOCK	WATSON	DR. WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	MY DEAR WATSON
HOLMES	WATSON	WATSON
DOROTHY	HOLMES	MR. HOLMES
WALTER	HOLMES	HOLMES
WALTER	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
MURDOCK	HOLMES	MR. HOLMES
MURDOCK	HOLMES	MR. HOLMES
HOLMES	WATSON	WATSON
MURDOCK	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
WALTER	HOLMES	HOLMES
WALTER	HOLMES	HOLMES
WALTER	HOLMES	HOLMES
ANNOUNCER	HOLMES	MR. HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	WATSON	DR. WATSON
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	WATSON	DR. WATSON
ANNOUNCER	WATSON	DR. WATSON
WATSON	HOLMES	HOLMES
WATSON	HOLMES	SHERLOCK HOLMES
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	MY DEAR CHAP
WATSON	HOLMES	HOLMES
